identifiant_agent,identifiant_institution,identifiant_agence,nom_agent,date_entree_fonction,date_sortie_fonction
AGT-0068,INS-002,AGE-012,Moussa Sissoko,2016-04-28,
AGT-0069,INS-002,AGE-013,Kadidia Dembele,2021-07-14,
AGT-0070,INS-003,AGE-020,Mamadou Sissoko,2025-06-25,
AGT-0071,INS-003,AGE-021,Rokia Dembele,2023-07-03,
AGT-0072,INS-003,AGE-022,Oumar Coulibaly,2019-10-21,2021-12-14
AGT-0073,INS-003,AGE-023,Salimata Cisse,2023-03-12,
AGT-0074,INS-003,AGE-024,Moussa Konate,2024-03-03,
AGT-0075,INS-003,AGE-025,Kadidia Keita,2014-02-06,2020-10-10
AGT-0076,INS-003,AGE-020,Ibrahim Maiga,2014-05-02,
AGT-0077,INS-003,AGE-021,Aminata Diakite,2022-03-23,
AGT-0078,INS-003,AGE-022,Modibo Sangare,2019-08-28,
AGT-0079,INS-003,AGE-023,Binta Diallo,2019-12-11,
AGT-0080,INS-003,AGE-024,Adama Toure,2024-12-18,
AGT-0081,INS-003,AGE-025,Mariam Traore,2015-02-13,2019-08-30
AGT-0082,INS-003,AGE-020,Bakary Sissoko,2014-10-30,
AGT-0083,INS-003,AGE-021,Awa Dembele,2023-05-12,
AGT-0084,INS-003,AGE-022,Seydou Coulibaly,2020-09-24,
AGT-0085,INS-003,AGE-023,Fatoumata Cisse,2017-10-04,
AGT-0086,INS-003,AGE-024,Mamadou Konate,2024-12-13,
AGT-0087,INS-003,AGE-025,Rokia Keita,2023-04-28,2025-01-14
AGT-0088,INS-003,AGE-020,Oumar Maiga,2019-08-30,
AGT-0089,INS-003,AGE-021,Salimata Diakite,2020-07-15,
AGT-0090,INS-003,AGE-022,Moussa Sangare,2023-01-28,2024-04-18
AGT-0091,INS-003,AGE-023,Kadidia Diallo,2021-08-31,
AGT-0092,INS-003,AGE-024,Ibrahim Toure,2024-12-12,
AGT-0093,INS-003,AGE-025,Aminata Traore,2015-06-19,2021-05-19
AGT-0094,INS-003,AGE-020,Modibo Sissoko,2024-06-03,
AGT-0095,INS-003,AGE-021,Binta Dembele,2024-12-16,
AGT-0096,INS-003,AGE-022,Adama Coulibaly,2017-10-21,
AGT-0097,INS-003,AGE-023,Mariam Cisse,2021-02-16,
AGT-0098,INS-003,AGE-024,Bakary Konate,2025-01-12,
AGT-0099,INS-003,AGE-025,Awa Keita,2020-07-23,2024-04-03
AGT-0100,INS-003,AGE-020,Seydou Maiga,2017-01-21,
AGT-0101,INS-003,AGE-021,Fatoumata Diakite,2024-07-01,
AGT-0102,INS-003,AGE-022,Mamadou Sangare,2019-08-28,2022-02-17
AGT-0103,INS-003,AGE-023,Rokia Diallo,2018-03-14,2020-01-30
AGT-0104,INS-003,AGE-024,Oumar Toure,2024-05-19,
AGT-0105,INS-003,AGE-025,Salimata Traore,2015-12-04,2020-03-23
AGT-0106,INS-003,AGE-020,Moussa Sissoko,2025-02-17,
AGT-0107,INS-003,AGE-021,Kadidia Dembele,2024-04-15,
AGT-0108,INS-003,AGE-022,Ibrahim Coulibaly,2023-10-03,
AGT-0109,INS-003,AGE-023,Aminata Cisse,2022-09-30,
AGT-0110,INS-003,AGE-024,Modibo Konate,2024-01-08,
AGT-0111,INS-003,AGE-025,Binta Keita,2013-08-02,2025-02-05
AGT-0112,INS-004,AGE-026,Mamadou Sissoko,2024-11-16,
AGT-0113,INS-004,AGE-027,Rokia Dembele,2025-01-01,
AGT-0114,INS-004,AGE-028,Oumar Coulibaly,2020-05-22,
AGT-0115,INS-004,AGE-029,Salimata Cisse,2023-03-16,2025-06-18
AGT-0116,INS-004,AGE-030,Moussa Konate,2025-01-03,
AGT-0117,INS-004,AGE-031,Kadidia Keita,2021-03-21,2022-06-09
AGT-0118,INS-004,AGE-032,Ibrahim Maiga,2024-02-09,2025-07-17
AGT-0119,INS-004,AGE-033,Aminata Diakite,2016-08-11,2019-07-25
AGT-0120,INS-004,AGE-034,Modibo Sangare,2023-02-16,
AGT-0121,INS-004,AGE-026,Binta Diallo,2014-03-16,2015-05-07
AGT-0122,INS-004,AGE-027,Adama Toure,2021-04-19,2025-09-11
AGT-0123,INS-004,AGE-028,Mariam Traore,2019-04-04,2023-05-18
AGT-0124,INS-004,AGE-029,Bakary Sissoko,2022-05-05,
AGT-0125,INS-004,AGE-030,Awa Dembele,2025-04-29,
AGT-0126,INS-004,AGE-031,Seydou Coulibaly,2020-03-23,
AGT-0127,INS-004,AGE-032,Fatoumata Cisse,2025-02-20,
AGT-0128,INS-004,AGE-033,Mamadou Konate,2017-08-27,2022-08-29
AGT-0129,INS-004,AGE-034,Rokia Keita,2017-07-09,
AGT-0130,INS-004,AGE-026,Oumar Maiga,2021-08-02,
AGT-0131,INS-004,AGE-027,Salimata Diakite,2024-09-24,
AGT-0132,INS-004,AGE-028,Moussa Sangare,2021-07-01,2023-10-08
AGT-0133,INS-004,AGE-029,Kadidia Diallo,2019-06-24,2021-05-13
AGT-0134,INS-004,AGE-030,Ibrahim Toure,2024-10-23,
AGT-0135,INS-004,AGE-031,Aminata Traore,2020-04-17,2024-01-01
AGT-0136,INS-004,AGE-032,Modibo Sissoko,2024-01-15,
AGT-0137,INS-004,AGE-033,Binta Dembele,2021-07-08,2023-09-17
AGT-0138,INS-004,AGE-034,Adama Coulibaly,2020-10-30,
AGT-0139,INS-004,AGE-026,Mariam Cisse,2021-08-12,
AGT-0140,INS-004,AGE-027,Bakary Konate,2022-10-02,
AGT-0141,INS-004,AGE-028,Awa Keita,2021-04-29,
AGT-0142,INS-004,AGE-029,Seydou Maiga,2023-09-06,
AGT-0143,INS-004,AGE-030,Fatoumata Diakite,2025-03-27,
AGT-0144,INS-004,AGE-031,Mamadou Sangare,2019-02-13,2022-05-13
AGT-0145,INS-005,AGE-035,Mamadou Sissoko,2020-08-07,2024-08-18
AGT-0146,INS-005,AGE-036,Rokia Dembele,2025-06-15,
AGT-0147,INS-005,AGE-037,Oumar Coulibaly,2022-01-30,2024-09-05
AGT-0148,INS-005,AGE-038,Salimata Cisse,2020-11-20,2022-04-29
AGT-0149,INS-005,AGE-039,Moussa Konate,2019-05-01,2020-09-02
AGT-0150,INS-005,AGE-040,Kadidia Keita,2021-04-16,2024-11-25
AGT-0151,INS-005,AGE-041,Ibrahim Maiga,2023-06-22,
AGT-0152,INS-005,AGE-035,Aminata Diakite,2024-08-30,2025-12-03
AGT-0153,INS-005,AGE-036,Modibo Sangare,2024-08-04,
AGT-0154,INS-005,AGE-037,Binta Diallo,2024-02-04,
AGT-0155,INS-005,AGE-038,Adama Toure,2022-01-26,2023-09-20
AGT-0156,INS-005,AGE-039,Mariam Traore,2019-09-26,2022-04-03
AGT-0157,INS-005,AGE-040,Bakary Sissoko,2023-09-20,
AGT-0158,INS-005,AGE-041,Awa Dembele,2024-06-04,
AGT-0159,INS-005,AGE-035,Seydou Coulibaly,2021-06-03,2023-11-13
AGT-0160,INS-005,AGE-036,Fatoumata Cisse,2024-04-19,
AGT-0161,INS-005,AGE-037,Mamadou Konate,2023-02-09,2024-07-21
AGT-0162,INS-005,AGE-038,Rokia Keita,2022-05-14,2024-08-23
AGT-0163,INS-005,AGE-039,Oumar Maiga,2020-10-21,
AGT-0164,INS-005,AGE-040,Salimata Diakite,2021-10-08,
AGT-0165,INS-005,AGE-041,Moussa Sangare,2019-05-14,2022-07-06
AGT-0166,INS-005,AGE-035,Kadidia Diallo,2020-04-12,2024-07-18
AGT-0167,INS-005,AGE-036,Ibrahim Toure,2024-12-18,
AGT-0168,INS-005,AGE-037,Aminata Traore,2020-11-16,
AGT-0169,INS-005,AGE-038,Modibo Sissoko,2021-08-11,2025-06-25
AGT-0170,INS-005,AGE-039,Binta Dembele,2023-01-13,
